gpr_daily_id,gpr_date,article_count_n10d,gpr_daily_index,gpr_daily_acts_index,gpr_daily_threat_index,gpr_ma30,gpr_ma7,annotated_event
12809,2020-01-26,426,23.3279418945313,15.5040912628174,25.8638858795166,141.551696777344,73.9892959594727,
12810,2020-01-27,644,72.0123443603516,30.7674350738525,94.0979537963867,141.920761108398,67.2601547241211,
12811,2020-01-28,765,99.5935363769531,51.8019065856934,136.82502746582,144.030471801758,64.4408340454102,
12812,2020-01-29,775,47.01708984375,8.52224922180176,71.0839691162109,141.309585571289,60.0159797668457,
12813,2020-01-30,775,188.068359375,42.6112403869629,284.335876464844,142.066772460938,73.5866851806641,
12814,2020-01-31,806,73.9779357910156,40.9723472595215,88.8549575805664,140.715026855469,76.7318420410156,
12815,2020-02-01,1116,89.0475234985352,41.4275970458984,118.473281860352,138.243927001953,84.7206726074219,
12816,2020-02-02,483,41.1499099731445,41.0232467651367,34.2174377441406,136.922454833984,87.2666702270508,
12817,2020-02-03,647,107.517654418945,112.290824890137,93.6616439819336,132.839981079102,92.3388595581055,
12818,2020-02-04,692,143.608428955078,181.344085693359,103.49291229248,130.98518371582,98.6267013549805,
12819,2020-02-05,727,68.3473358154297,36.3397102355957,98.5104598999023,124.863891601563,101.673881530762,
12820,2020-02-06,731,90.6311264038086,36.1408653259277,128.116455078125,114.103073120117,87.7542724609375,
12821,2020-02-07,839,78.9646606445313,23.6164817810059,111.624710083008,110.715049743652,88.4666595458984,
12822,2020-02-08,1169,31.1704387664795,22.5996322631836,37.7006530761719,98.6053924560547,80.1985092163086,
12823,2020-02-09,421,31.4733295440674,31.3764514923096,39.2565879821777,94.0777969360352,78.8161392211914,
12824,2020-02-10,669,24.7576065063477,19.7451190948486,24.7040710449219,90.8976516723633,66.993278503418,
12825,2020-02-11,734,90.2606964111328,89.9828643798828,82.56005859375,88.0485763549805,59.3721694946289,
12826,2020-02-12,801,62.0331001281738,74.2105941772461,41.2659759521484,85.0254898071289,58.4701385498047,
12827,2020-02-13,788,58.852725982666,83.8165283203125,27.9645042419434,82.5947265625,53.9303665161133,
12828,2020-02-14,780,89.1845169067383,59.2733345031738,120.068115234375,80.4498138427734,55.3903465270996,
12829,2020-02-15,1105,53.9603805541992,47.8171424865723,59.8263282775879,77.3835754394531,58.6460494995117,
12830,2020-02-16,406,73.4313049316406,0.0,122.12085723877,75.5038681030273,64.6400451660156,
12831,2020-02-17,587,84.6482391357422,78.761833190918,112.620262145996,77.0315017700195,73.1958541870117,
12832,2020-02-18,675,83.4276275634766,0.0,138.745376586914,76.702033996582,72.2196960449219,
12833,2020-02-19,726,54.7531814575195,45.4872055053711,53.1171569824219,74.5565948486328,71.1797103881836,
12834,2020-02-20,744,111.30940246582,53.2640533447266,140.687026977539,74.2892837524414,78.6735229492188,
12835,2020-02-21,765,103.923698425293,86.3365020751953,129.623718261719,75.1537017822266,80.7791213989258,
12836,2020-02-22,1028,77.3362121582031,89.9478530883789,75.0253982543945,74.6291275024414,84.118522644043,
12837,2020-02-23,437,37.9012336730957,30.227653503418,37.8192749023438,74.1604385375977,79.0428009033203,
